关键词,最终类别
金融科技,战略理念
数字金融,战略理念
区块链,技术支持
数字普惠转型,战略理念
数字化风控,战略理念
数字运营,战略理念
科技金融,战略理念
数据要素,战略理念
数据资产,战略理念
反洗钱智能管理平台,产品服务
大数据,技术支持
知识图谱,技术支持
机器学习,技术支持
自然语言处理,技术支持
NLP,技术支持
AI外呼机器人,产品服务
数据建模,技术支持
数据共享服务平台,基础设施
智能评估系统,产品服务
科技架构转型,战略理念
零售客户画像,技术支持
深度学习,技术支持
神经网络,技术支持
技术流授信,技术支持
数字化转型,战略理念
金融科技基础设施,基础设施
人工智能,技术支持
AI,技术支持
数据治理,战略理念
隐私计算,技术支持
金融数据生态,战略理念
数据要素驱动,战略理念
数据金融服务,产品服务
信息共享平台,基础设施
数据生态,战略理念
授信模型,技术支持
RPA,技术支持
机器人流程自动化,技术支持
数字化信贷产品,产品服务
全流程自动审批,产品服务
沙箱技术,技术支持
移动办公,产品服务
智能数据分析,技术支持
分布式数据,技术支持
大模型算法,技术支持
智能营销,产品服务
自动化运营,产品服务
数字普惠金融,战略理念
供应链金融数字化,产品服务
金融服务生态,战略理念
邮智大模型,产品服务
算力集群,基础设施
数字员工,产品服务
信贷大模型,产品服务
大模型,技术支持
元宇宙,战略理念
3D 建模,技术支持
语音交互,技术支持
风险防控体系,产品服务
智能投顾,产品服务
生成式 AI,技术支持
智能客服,产品服务
欺诈检测,技术支持
自动化流程,技术支持
数智化服务,战略理念
物联网,基础设施
云计算,基础设施
API,基础设施
SaaS,基础设施
云服务,基础设施
数字化技术,技术支持
智能风控,技术支持
数字技术,技术支持
产品量价模型,技术支持
技术中台,基础设施
分布式信用卡,产品服务
账户分类分级智能管理系统,产品服务
数字化运营,战略理念
智慧网点,基础设施
生物识别,技术支持
虚拟现实,技术支持
VR,技术支持
智能引导,产品服务
云上乡村数智平台,基础设施
无障碍小工具,产品服务
链e融,产品服务
大数据风控规则模型,技术支持
金融科技驱动转型,战略理念
客户准入模型,技术支持
金融科技生态圈,战略理念
数字人民币,产品服务
信贷综合服务平台,基础设施
生物特征识别技术,技术支持
物联网技术,基础设施
分布式数据库,基础设施
数字人,产品服务
3D 卡通形象,技术支持
数据安全应急响应,技术支持
碳核算平台,产品服务
智能合约,技术支持
数据分类分级管理,战略理念
金融数据资产管理,战略理念
全流程数据安全管理,战略理念
数字孪生技术,技术支持
移动营销设备,基础设施
智能办公系统,基础设施
流程机器人,技术支持
金融数据,战略理念
金融数据安全技术,技术支持
信贷审批模型,技术支持
企业司库系统,基础设施
风险监测预警系统,产品服务
数字货币,产品服务
IoT,基础设施
大数据分析,技术支持
分布式核心系统,基础设施
外汇金管家系统,产品服务
反欺诈智能监控,产品服务
企业综合服务平台,基础设施
客户体验优化系统,产品服务
投研工具,产品服务
智慧汽车金融系统,产品服务
自动化贷款审批,产品服务
大数据风控技术,技术支持
人脸识别,技术支持
智能审批流程,产品服务
随借随还功能,产品服务
深港跨境数据验证平台,基础设施
DDTP,技术支持
分布式数据传输协议,技术支持
FISCO BCOS,技术支持
远程问诊智慧设备,产品服务
萤火平台,基础设施
跨境在线支付结算系统,基础设施
数字化供应链金融业务,产品服务
活体检测,技术支持
金融日历功能,产品服务
声纹比对,技术支持
AI交易机器人,产品服务
iDeal平台,基础设施
实时授信检查,产品服务
可视化分析,技术支持
数据信用模型,技术支持
风险预警,产品服务
智能外呼系统,产品服务
智能质检,产品服务
实时交易监控,产品服务
远程身份识别,技术支持
民生e家,产品服务
智慧银行,产品服务
数字化供应链金融服务平台,基础设施
浦链e融,产品服务
无人农场,战略理念
智能反欺诈实时预警系统,产品服务
跨境支付系统,基础设施
智能管理系统,基础设施
科创金融,战略理念
产业数字金融生态平台,基础设施
数字员工生态平台,基础设施
风险管理平台,基础设施
交银科创,产品服务
云上交行,产品服务
云网点,基础设施
云柜员,产品服务
云管家,产品服务
数字分身技术,技术支持
数币,产品服务
产业综合平台,基础设施
智慧零售平台,基础设施
AIOps技术,技术支持
信贷工厂,产品服务
AI估值辅助工具,产品服务
小苏科创力评价模型,技术支持
供应链金融,战略理念
产业数字金融,战略理念
